Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4﹞2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe每corrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /⊥,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/⊥,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/⊥,First Pyrolysis Time H2/h,Rising Rate ⊥/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/⊥,Acid wash time/h,Second Pyrolysis temperature inert/⊥,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/⊥,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/⊥,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ⊥,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ⊥,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
"Activity, Performance, and Durability for the Reduction of Oxygen in PEM Fuel Cells, of Fe/N/C Electrocatalysts Obtained from the Pyrolysis of Metal-Organic-Framework and Iron Porphyrin Precursors",2015,NC Por_0.8-950 Ar+NH3,0,0,0.0035,0,0,0,0.0431,4.31,0.0579,0.0213,0,0.027213,0.0190491,0.0066585,0.0049794,0.0579,0.47,0.329,0.115,0.086,ZIF8/ClFeTMPP/NH3,,,,,,,,,,,,,,,,,,,122.3,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,1,,,,,0,,,,,950,5,,,2.35,897,0.950947603,0.049052397,,,,,,1.25,1.14,4,0.5,0.4,Nafion 211,25,140,1.5,40,100,0,80,300,300,0.1,416,0,466,,1.025,0.805,0.73,0.675,0.638,0.58,0.55,0.5,0.46,0.43,0.4,0.365,0.34,0.32,0.28,0.26,0.235,0.2,0.165,0.14,0.12,0.10086,0.08328,0.0671,0.05214,0.03827,0.02539,0.01338,0.00216
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,5,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,465,0,650,135,0.99,0.81,0.775,0.735,0.7,0.66,0.62,0.585,0.535,0.49,0.45,0.42,0.39,0.35,0.32,0.29,0.25,0.21,0.17,0.15,0.13086,0.11328,0.0971,0.08214,0.06827,0.05539,0.04338,0.03216,0.02166
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,2,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.1379,530,0,675,100,0.92,0.8,0.74,0.71,0.68,0.65,0.62,0.59,0.555,0.53,0.5,0.47,0.435,0.402,0.36,0.31,0.25,0.18,0.145,0.11195,0.08241,0.05583,0.03179,0.00995,0,0,0,0,0
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,60,300,300,0.2068,540,0,780,150,0.99,0.81,0.775,0.755,0.72,0.695,0.66,0.625,0.59,0.54,0.49,0.44,0.4,0.38,0.37,0.355,0.34,0.315,0.29,0.265,0.24,0.21619,0.19455,0.17478,0.15667,0.14,0.12462,0.11037,0.09714
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.0689,560,0,770,100,0.95,0.8,0.76,0.73,0.702,0.675,0.645,0.62,0.59,0.56,0.53,0.5,0.47,0.43,0.38,0.32,0.24,0.15,0.0678,0,0,0,0,0,0,0,0,0,0
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,0.5,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,595,0,850,150,0.99,0.82,0.78,0.75,0.725,0.695,0.66,0.64,0.605,0.58,0.55,0.525,0.49,0.45,0.425,0.39,0.35,0.315,0.28,0.245,0.2,0.15783,0.12065,0.08762,0.05808,0.03151,0.00749,0,0
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.1379,630,0,870,180,1,0.83,0.785,0.75,0.725,0.7,0.675,0.65,0.62,0.595,0.565,0.54,0.51,0.48,0.45,0.42,0.385,0.35,0.325,0.3,0.27,0.21156,0.18592,0.1627,0.14157,0.12225,0.10452,0.0882,0.07312
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,70,300,300,0.2068,665,0,950,200,0.99,0.84,0.8,0.775,0.75,0.735,0.705,0.69,0.66,0.64,0.625,0.6,0.575,0.55,0.53,0.502,0.48,0.455,0.43,0.4,0.375,0.35119,0.32955,0.30978,0.29167,0.275,0.25962,0.24537,0.23214
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,4,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,680,0,880,150,0.99,0.825,0.79,0.75,0.72,0.69,0.66,0.64,0.62,0.598,0.57,0.55,0.525,0.5,0.475,0.45,0.425,0.399,0.355,0.325,0.298,0.27233,0.24908,0.22792,0.20858,0.19084,0.1745,0.15941,0.14542
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,2,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,710,1,850,150,0.99,0.82,0.79,0.755,0.725,0.701,0.68,0.655,0.635,0.61,0.59,0.56,0.54,0.52,0.495,0.47,0.445,0.42,0.398,0.36,0.34,0.32086,0.30328,0.2871,0.27214,0.25827,0.24539,0.23338,0.22216
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,775,1,1100,200,0.99,0.84,0.8,0.775,0.75,0.725,0.71,0.69,0.665,0.645,0.625,0.6,0.575,0.55,0.53,0.502,0.48,0.455,0.43,0.4,0.375,0.35119,0.32955,0.30978,0.29167,0.275,0.25962,0.24537,0.23214
Is iron involved in the lack of stability of Fe/N/C electrocatalysts used to reduce oxygen at the cathode of PEM fuel cells?,2016,MOF_Ar+NH3(5min),0,0,0,0,0,0,0.00055,0.055,0.0648,0.0269,0,0.0297,0.0041,0.0238,0.0072,0.0648,0.458333333,0.063271605,0.367283951,0.111111111,ZIF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1,,,,0,0,,,,,950,0.083,,,,894,0.94855,0.05145,0,0.88,0.73,,,1.36,1.14,4,0.5,0.46,Nafion 211,25,120,,19.89,100,0,80,300,300,0.2,315,0,300,40,1,0.74,0.65,0.6,0.55,0.5,0.45,0.4,0.375,0.34,0.315,0.285,0.255,0.225,0.19,0.15,0.11,0.075,0.04,0.00695,0,0,0,0,0,0,0,0,0
Co nanoparticle embedded in atomically-dispersed Co-N-C nanofibers for oxygen reduction with high activity and remarkable durability,2018,Co@SACo-N-C-10,0,0,0,0,0,0.0195,0,0,0.0507,0.01634,0,0.03291,0.004847,0.02117,,0.058927,0.55848762,0.082254315,0.359258065,0,PAN/Co(Ac)2,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2,,,3,0,0,,,900,10,900,0.167,,,,369.29,,,,0.92,0.778,9,,0.818,6.25,3,0.4,0.2,Nafion 212,50,135,2,2,100,0,70,400,200,0.2068,420,0,250,20,0.91,0.7,0.63,0.56,0.52,0.5,0.5,0.475,0.44,0.45,0.43,0.395,0.355,0.33,0.3,0.27156,0.24592,0.2227,0.20157,0.18225,0.16452,0.1482,0.13312,0.11915,0.10617,0.09407,0.08277,0.0722,0.06228
Identification of binuclear Co2N5 active sites for oxygen reduction reaction with more than one magnitude higher activity than single atom CoN4 site,2019,Co-N-C-50,1,0,0,0,0,0.014,0,0,0.067,0.341,0,0.0331,0.0186,0.0152,,0.0669,0.494768311,0.278026906,0.227204783,0,ZIF-8/Co(NO3)2,,,,,,,,,,,,,,,,,,,,,,38.81,,,,,,,1983.267,,,2996.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,5,0,0,,,,,,,,,1.25,830,0.28965,0.63437,0.07599,0.88,0.73,6,,0.465,5,4,0.2,0.2,Nafion 211,25,120,5,5.443,100,0,80,300,400,0.13,302,0,425,120,0.93,0.83,0.73,0.66,0.6,0.54,0.48,0.43,0.37,0.32,0.2733,0.23239,0.19625,0.1641,0.1353,0.10936,0.08588,0.06452,0.04501,0.02711,0.01063,0,0,0,0,0,0,0,0
Highly active atomically dispersed CoN4 fuel cell cathode catalysts derived from surfactant-assisted MOFs: carbon-shell confinement strategy,2018,Co-N-C@F127,1,0,0.024,0,0,0.062,0,0,0.091,0.024,0,0.033642,,0.034843,0.001684,0.070169,0.479442489,0,0.496558309,0.023999202,Co(NO3)2/ZIF/F128,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,2680,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,900,3,,,30,1,2,50,5,,,,,,,,825,0.94,0.01,0.05,0.93,0.84,13.3,,0.6,5,4,0.3,0.2,Nafion 212,50,125,5,3.447,60,0,80,200,200,0.1,695,0,600,50,0.95,0.75,0.7,0.665,0.64,0.64,0.6,0.585,0.565,0.55,0.54,0.52,0.5,0.485,0.465,0.45,0.425,0.41,0.385,0.36,0.335,0.31119,0.28955,0.26978,0.25167,0.235,0.21962,0.20537,0.19214
Highly active atomically dispersed CoN4 fuel cell cathode catalysts derived from surfactant-assisted MOFs: carbon-shell confinement strategy,2018,Co-N-C@F127,1,0,0.024,0,0,0.062,0,0,0.091,0.024,0,0.033642,,0.034843,0.001684,0.070169,0.479442489,0,0.496558309,0.023999202,Co(NO3)2/ZIF/F127,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,2680,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,900,3,,,30,1,2,50,5,,,,,,,,825,0.94,0.01,0.05,0.93,0.84,13.3,,0.6,5,4,0.3,0.2,Nafion 212,50,125,5,3.447,100,0,80,200,200,0.1,870,1,925,30,0.92,0.75,0.725,0.705,0.695,0.675,0.66,0.645,0.63,0.605,0.59,0.575,0.56,0.55,0.535,0.525,0.51,0.495,0.475,0.455,0.43,0.4,0.375,0.34,0.305,0.29056,0.27716,0.26468,0.25305
g-C3N4 promoted MOF derived hollow carbon nanopolyhedra doped with high density/fraction of single Fe atoms as an ultra-high performance nonprecious catalyst towards acidic ORR and PEM fuel cells,2019,C-FeHZ8@g-C3N4-950,1,0,0,0,0,0,0.0317,3.17,0.0657,,0,0.035,0.0053,0.0208,0.0046,0.0657,0.532724505,0.080669711,0.316590563,0.070015221,Zn(NO3)2.6H2O/2-methylimidazole/tannic acid/ferric acetylacetonate/g-C3N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,2,1,1,25,12,950,3,,,,,1.03,754,0,0.20057,0.79943,0.9,0.78,,,,5,4,0.1,,Nafion 211,25,,,,100,1,80,300,300,0.21,628,0,725,150,0.96,0.82,0.77,0.73,0.7,0.67,0.64,0.61,0.58,0.55,0.53,0.52,0.49,0.46,0.44,0.41,0.39,0.37,0.34,0.32,0.3,0.28086,0.26328,0.2471,0.23214,0.21827,0.20539,0.19338,0.18216
Unveiling the high-activity origin of single-atom iron catalysts for oxygen reduction reaction,2018,SA-Fe-NG,1,0,0,0,0,0,0.02634,2.634,0.1125,0.0663,0,0.0355,0.0358875,0.04106,,0.1124475,0.315702884,0.319148936,0.36514818,0,C3N4/F127/FeCl3 6H2O,,,,,,24.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,600,,,,,,,800,2,,,3,1,2,25,24,,,,,,,,579,0.1297,0.8703,0,0.9,0.8,8,,1,5,2,0.2,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.2,823,1,850,100,0.91,0.75,0.7,0.65,0.63,0.61,0.59,0.575,0.56,0.545,0.53,0.515,0.505,0.5,0.49,0.48,0.465,0.45,0.43,0.415,0.4,0.39,0.37,0.355,0.34,0.325,0.31,0.3,0.29031
"Fe-N-C Oxygen Reduction Fuel Cell Catalyst Derived from Carbendazim: Synthesis, Structure, and Reactivity",2014,Fe-8CBDZ-SHT,1,0,0,0,0,0,0.00557,0.557,0.08,,0,0.0368,0.022,0.0032,0.006,0.068,0.541176471,0.323529412,0.047058824,0.088235294,Fe(NO3)3.9H2O/SiO2/CBDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1.5,,,20,0,0,,,,,,,,,,500,,,,0.875,0.78,60,,0.1395,5,4,0.5,,Nafion211,25,135,3,9.07,100,0,80,100,100,0.1722525,366,0,225,15,0.875,0.68,0.61,0.57,0.525,0.495,0.455,0.425,0.4,0.375,0.35,0.325,0.305,0.28586,0.26828,0.2521,0.23714,0.22327,0.21039,0.19838,0.18716,0.17666,0.1668,0.15754,0.14882,0.14059,0.13281,0.12545,0.11847
"Fe-N-C Oxygen Reduction Fuel Cell Catalyst Derived from Carbendazim: Synthesis, Structure, and Reactivity",2014,Fe-8CBDZ-DHT-N2,1,0,0,0,0,0,0.00557,0.557,0.08,,0,0.0368,0.022,0.0032,0.006,0.068,0.541176471,0.323529412,0.047058824,0.088235294,Fe(NO3)3.9H2O/SiO2/CBDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1.5,,,20,0,0,,,950,0.5,,,,,,500,,,,0.875,0.78,,,0.1395,5,4,0.5,,Nafion211,25,135,3,9.07,100,0,80,100,100,0.1722525,432,0,350,30,0.975,0.73,0.665,0.615,0.575,0.545,0.51,0.48,0.455,0.425,0.405,0.385,0.36,0.33619,0.31455,0.29478,0.27667,0.26,0.24462,0.23037,0.21714,0.20483,0.19333,0.18258,0.1725,0.16303,0.15412,0.14571,0.13778
"Fe-N-C Oxygen Reduction Fuel Cell Catalyst Derived from Carbendazim: Synthesis, Structure, and Reactivity",2014,Fe-8CBDZ-DHT-NH3,1,0,0,0,0,0,0.00557,0.557,0.08,,0,0.0368,0.022,0.0032,0.006,0.068,0.541176471,0.323529412,0.047058824,0.088235294,Fe(NO3)3.9H2O/SiO2/CBDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1.5,,,20,0,0,,,,,950,0.5,,,,500,,,,0.875,0.78,,,0.1395,5,4,0.5,,Nafion211,25,135,3,9.07,100,0,80,100,100,0.1722525,567,0,700,120,0.975,0.81,0.76,0.72,0.68,0.65,0.62,0.59,0.56,0.535,0.505,0.485,0.46,0.43,0.405,0.38119,0.35955,0.33978,0.32167,0.305,0.28962,0.27537,0.26214,0.24983,0.23833,0.22758,0.2175,0.20803,0.19912
Seeded growth of branched ironenitrogen-doped carbon nanotubes as a high performance and durable non-precious fuel cell cathode,2020,Fe-N/CNT,0,0,0,0,0,0,0.027,2.7,0.017,,0,,,,,,,,,,FeCl3/MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,,,0.5,60,,900,1,,,,,,,0.22,0.78,,0.89,0.76,,,1.86,4,4,0.25,,Nafion 211,25,125,3,5,100,,,,,,365,0,300,20,0.9,0.72,0.65,0.6,0.55,0.505,0.48,0.45,0.41,0.395,0.36,0.32,0.305,0.29056,0.27716,0.26468,0.25305,0.24217,0.23197,0.22239,0.21339,0.20489,0.19688,0.18929,0.18211,0.1753,0.16883,0.16268,0.15682
Heat-treated hemin supported on graphene nanoplatelets for the oxygen reduction reaction,2012,HT600Hem/GNP-U2,1,0,0,0,0,0,0.0493,4.93,0.03677,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,3,,,,,0,,,600,2,,,,,,223.1,,,,0.92,0.75,,,0.25,5,2.5,0.4,,Nafion211,25,120,,3.447,100,0,,100,200,0,300,0,180,0,0.85,0.66,0.59,0.535,0.495,0.455,0.42,0.4,0.37,0.34,0.3,0.265,0.23195,0.20241,0.17583,0.15179,0.12995,0.11001,0.09175,0.07495,0.05945,0.0451,0.03178,0.01938,0.00781,0,0,0,0
Pt-free cathode catalysts prepared via multi-step pyrolysis of Fe phthalocyanine and phenolic resin for fuel cells,2010,600-I-N2,0,0,0,0,0,0,0.0218,2.18,0.03,,0,,,,,,,,,,Fe phthalocyanine/phenolic resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,5,,,,,0,,,,,,,,,,384,,,,,,,,0.5,1,4,0.5,0.457,Nafion 115,125,120,2,1.5,100,,80,,,0.2,332,0,497,94,1,0.8,0.725,0.675,0.636,0.603,0.539,0.458,0.365,0.22,0.09058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt-free cathode catalysts prepared via multi-step pyrolysis of Fe phthalocyanine and phenolic resin for fuel cells,2010,800-II-N2,0,0,0,0,0,0,0.0077,0.77,0.016,,0,,,,,,,,,,Fe phthalocyanine/phenolic resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,5,,,,1,0,,,800,1,,,,,,432,,,,,,,,0.5,1,4,0.5,0.457,Nafion 115,125,120,2,1.5,100,,80,,,0.2,417,0,512,102,1.02,0.809,0.753,0.7,0.642,0.617,0.566,0.525,0.488,0.452,0.413,0.385,0.349,0.312,0.282,0.237,0.2,0.128,0.06163,0.00489,0,0,0,0,0,0,0,0,0
Pt-free cathode catalysts prepared via multi-step pyrolysis of Fe phthalocyanine and phenolic resin for fuel cells,2010,800-II-NH3,0,0,0,0,0,0,0.0073,0.73,0.029,,0,,,,,,,,,,Fe phthalocyanine/phenolic resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,5,,,,1,0,,,,,800,1,,,,533,,,,,,,,0.5,1,4,0.5,0.457,Nafion 115,125,120,2,1.5,100,,80,,,0.2,520,0,576,131,1.01,0.823,0.767,0.717,0.664,0.631,0.603,0.572,0.555,0.52,0.491,0.453,0.424,0.396,0.368,0.335,0.3,0.248,0.198,0.1513,0.11039,0.07425,0.0421,0.0133,0,0,0,0,0
